m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
100.0,0.00017782794100389227,0.00025118864315095795,2.670270159384743e-16,10.239521643758085
100.0,0.00017782794100389227,0.00039810717055349735,1.0630536977660977e-15,25.72051548210463
100.0,0.00017782794100389227,0.000630957344480193,4.2320929976409296e-15,64.60701385093061
100.0,0.00031622776601683794,0.0001,1.6843537858539812e-17,1.5701975740005103
100.0,0.00031622776601683794,0.00015848931924611142,6.705533198974004e-17,3.944157980921145
100.0,0.00031622776601683794,0.00025118864315095795,2.6695208488960764e-16,9.907276916006031
100.0,0.00031622776601683794,0.00039810717055349735,1.0627553918875887e-15,24.885954458523653
100.0,0.00031622776601683794,0.000630957344480193,4.230905420548402e-15,62.510691339530815
100.0,0.0005623413251903491,0.0001,1.6835646625106887e-17,1.5175403332759785
100.0,0.0005623413251903491,0.00015848931924611142,6.702391642359846e-17,3.81188897242446
100.0,0.0005623413251903491,0.00025118864315095795,2.6682701726812803e-16,9.575032188253983
100.0,0.0005623413251903491,0.00039810717055349735,1.0622574887184376e-15,24.05139343494269
100.0,0.0005623413251903491,0.000630957344480193,4.228923232329598e-15,60.414368828131046
100.0,0.001,0.0001,1.6822886747680062e-17,1.4648830925514493
100.0,0.001,0.00015848931924611142,6.697311843660844e-17,3.679619963927781
100.0,0.001,0.00025118864315095795,2.666247868394239e-16,9.242787460501951
100.0,0.001,0.00039810717055349735,1.0614523948807253e-15,23.21683241136176
100.0,0.001,0.000630957344480193,4.225718096031982e-15,58.318046316731376
100.0,0.0017782794100389228,0.0001,1.680110742693411e-17,1.4122258518269273
100.0,0.0017782794100389228,0.00015848931924611142,6.688641339902095e-17,3.54735095543112
100.0,0.0017782794100389228,0.00025118864315095795,2.6627960786755705e-16,8.910542732749963
100.0,0.0017782794100389228,0.00039810717055349735,1.0600782126424805e-15,22.38227138778095
100.0,0.0017782794100389228,0.000630957344480193,4.220247378005057e-15,56.22172380533199
100.0,0.0031622776601683794,0.0001,1.6764734215749966e-17,1.3595686111024274
100.0,0.0031622776601683794,0.00015848931924611142,6.674160903713632e-17,3.415081946934515
100.0,0.0031622776601683794,0.00025118864315095795,2.6570313131962007e-16,8.578298004998116
100.0,0.0031622776601683794,0.00039810717055349735,1.057783218168584e-15,21.54771036420049
